Observation number,Income
1,22342
2,19919
3,8187
4,15875
5,17994
6,30765
7,31347
8,27282
9,29310
10,23720
11,22033
12,11706
13,15625
14,6173
15,15694
16,7924
17,10433
18,13274
19,17803
20,20583
21,21897
22,14531
23,19048
24,19850
25,19734
26,18205
27,13984
28,8738
29,10299
30,10678
31,8685
32,13455
33,14821
34,23722
35,8740
36,12325
37,10717
38,21447
39,11250
40,16016
41,11509
42,11395
43,19721
44,23231
45,21293
46,24375
47,19510
48,14926
49,22490
50,21383
51,25060
52,22664
53,8671
54,31566
55,26931
56,0
57,24965
58,34656
59,24493
60,21764
61,25843
62,32708
63,22188
64,19909
65,33675
66,15608
67,39708
68,22801
69,8643
70,0
71,14991
72,16569
73,17250
74,21880
75,18649
76,15857
77,17096
78,20647
79,30712
80,19304
81,24116
82,17500
83,19106
84,17517
85,12525
86,22931
87,22257
88,43500
89,43033
90,42274
91,16888
92,6891
93,10232
94,7495
95,13936
96,31918
97,29072
98,31948
99,36229
100,33860
101,32586
102,32606
103,31453
104,32939
105,33614
106,30726
107,26563
108,18374
109,23861
110,27578
111,35664
112,32185
113,30072
114,30373
115,28347
116,37786
117,48987
118,56318
119,49641
120,85742
121,43229
122,53116
123,27292
124,26934
125,46587
126,66358
127,21987
128,0
129,39698
130,36744
131,30184
132,44335
133,31558
134,36944
135,43750
136,49408
137,37354
138,31010
139,35709
140,32913
141,25594
142,24660
143,21667
144,24779
145,26515
146,18958
147,28634
148,28800
149,28980
150,25612
151,29375
152,29063
153,30996
154,45645
155,39312
156,34287
157,35533
158,27637
159,24342
160,34500
161,27943
162,27412
163,31071
164,23881
165,28649
166,39083
167,28967
168,22402
169,19792
170,41447
171,35833
172,41957
173,14333
174,12778
175,20000
176,19656
177,22302
178,33475
179,26580
180,0
181,24588
182,31496
183,30179
184,33694
185,36193
186,41921
187,35819
188,38382
189,38508
190,36798
191,34186
192,41410
193,47873
194,37443
195,38844
196,39304
197,37029
198,48472
199,38837
200,40548
201,35165
202,39404
203,34281
204,24615
205,34904
206,29600
207,16250
208,31008
209,24511
210,40370
211,41875
212,58682
213,42617
214,21964
215,38205
216,35536
217,35386
218,36250
219,31341
220,33790
221,31987
222,42113
223,37500
224,28988
225,32699
226,30269
227,27736
228,27048
229,28556
230,35650
231,37877
232,33841
233,22083
234,27446
235,76306
236,19333
